タイムスタンプ,レベル,メッセージ,コンテキスト,エラー詳細
05/01/2026 14:34:16,INFO,sendCancellationEmail: キャンセルメール送信完了,"{""email"":""t_sato2@ga-tech.co.jp"",""eventId"":""hvqdc7k9t1d96clvbq5nvk6jks""}",
05/01/2026 14:34:17,INFO,handleCancellation: キャンセル処理完了,"{""email"":""t_sato2@ga-tech.co.jp"",""eventId"":""hvqdc7k9t1d96clvbq5nvk6jks""}",
05/01/2026 14:34:17,INFO,cancelReservation: 予約削除完了,"{""email"":""t_sato2@ga-tech.co.jp"",""eventId"":""hvqdc7k9t1d96clvbq5nvk6jks""}",
05/01/2026 14:34:19,INFO,changeReservation: 予約変更を開始,"{""email"":""t_sato2@ga-tech.co.jp"",""oldEventId"":""lq091vh4igfupu58i8jllm5tf0"",""newEventId"":""7gd2clkualg5n0dkfdor88s7qs""}",
05/01/2026 14:34:19,ERROR,changeReservation: エラーが発生しました,"{""email"":""t_sato2@ga-tech.co.jp"",""oldEventId"":""lq091vh4igfupu58i8jllm5tf0"",""newEventId"":""7gd2clkualg5n0dkfdor88s7qs"",""errorMessage"":""データが無効です: 変更期限を過ぎています（3日前まで）""}",Error: データが無効です: 変更期限を過ぎています（3日前まで）
05/01/2026 14:34:33,INFO,checkEventCapacity: 定員チェック完了,"{""eventId"":""lq091vh4igfupu58i8jllm5tf0"",""maxAttendees"":999,""currentAttendees"":0,""isFull"":false,""availableSpots"":999}",
05/01/2026 14:35:05,INFO,updateReservationVisualization: 予約状況の可視化を更新しました,,
05/01/2026 14:35:06,INFO,updateReservationList: 予約一覧を更新しました,,
05/01/2026 14:35:08,INFO,updateCalendarEvent: イベント更新完了,"{""eventId"":""lq091vh4igfupu58i8jllm5tf0"",""updates"":{""title"":""[テスト] 更新されたタイトル 1767591307414""}}",
05/01/2026 14:35:09,INFO,updateCalendarEvent: イベント更新完了,"{""eventId"":""lq091vh4igfupu58i8jllm5tf0"",""updates"":{""title"":""[テスト] 継続研修テストイベント""}}",
05/01/2026 14:35:12,INFO,sendCancellationEmail: キャンセルメール送信完了,"{""email"":""t_sato2@ga-tech.co.jp"",""eventId"":""lq091vh4igfupu58i8jllm5tf0""}",
05/01/2026 14:35:12,INFO,handleCancellation: キャンセル処理完了,"{""email"":""t_sato2@ga-tech.co.jp"",""eventId"":""lq091vh4igfupu58i8jllm5tf0""}",
05/01/2026 14:35:15,INFO,getAvailableSessionsForChange: 変更可能セッションを取得,"{""email"":""t_sato2@ga-tech.co.jp"",""count"":0}",
05/01/2026 14:37:03,INFO,cancelReservation: 予約削除を開始,"{""email"":""t_sato2@ga-tech.co.jp"",""eventId"":""hvqdc7k9t1d96clvbq5nvk6jks""}",
05/01/2026 14:37:05,INFO,sendCancellationEmail: キャンセルメール送信完了,"{""email"":""t_sato2@ga-tech.co.jp"",""eventId"":""hvqdc7k9t1d96clvbq5nvk6jks""}",
05/01/2026 14:37:05,INFO,handleCancellation: キャンセル処理完了,"{""email"":""t_sato2@ga-tech.co.jp"",""eventId"":""hvqdc7k9t1d96clvbq5nvk6jks""}",
05/01/2026 14:37:06,INFO,cancelReservation: 予約削除完了,"{""email"":""t_sato2@ga-tech.co.jp"",""eventId"":""hvqdc7k9t1d96clvbq5nvk6jks""}",
05/01/2026 14:37:09,INFO,changeReservation: 予約変更を開始,"{""email"":""t_sato2@ga-tech.co.jp"",""oldEventId"":""lq091vh4igfupu58i8jllm5tf0"",""newEventId"":""7gd2clkualg5n0dkfdor88s7qs""}",
05/01/2026 14:37:11,ERROR,changeReservation: エラーが発生しました,"{""email"":""t_sato2@ga-tech.co.jp"",""oldEventId"":""lq091vh4igfupu58i8jllm5tf0"",""newEventId"":""7gd2clkualg5n0dkfdor88s7qs"",""errorMessage"":""データが無効です: 変更期限を過ぎています（3日前まで）""}",Error: データが無効です: 変更期限を過ぎています（3日前まで）
05/01/2026 14:37:27,INFO,checkEventCapacity: 定員チェック完了,"{""eventId"":""lq091vh4igfupu58i8jllm5tf0"",""maxAttendees"":999,""currentAttendees"":0,""isFull"":false,""availableSpots"":999}",
05/01/2026 14:38:06,INFO,updateReservationVisualization: 予約状況の可視化を更新しました,,
05/01/2026 14:38:07,INFO,updateReservationList: 予約一覧を更新しました,,
05/01/2026 14:38:09,INFO,updateCalendarEvent: イベント更新完了,"{""eventId"":""lq091vh4igfupu58i8jllm5tf0"",""updates"":{""title"":""[テスト] 更新されたタイトル 1767591488204""}}",
05/01/2026 14:38:10,INFO,updateCalendarEvent: イベント更新完了,"{""eventId"":""lq091vh4igfupu58i8jllm5tf0"",""updates"":{""title"":""[テスト] 継続研修テストイベント""}}",
05/01/2026 14:38:12,INFO,sendCancellationEmail: キャンセルメール送信完了,"{""email"":""t_sato2@ga-tech.co.jp"",""eventId"":""lq091vh4igfupu58i8jllm5tf0""}",
05/01/2026 14:38:13,INFO,handleCancellation: キャンセル処理完了,"{""email"":""t_sato2@ga-tech.co.jp"",""eventId"":""lq091vh4igfupu58i8jllm5tf0""}",
05/01/2026 14:38:16,INFO,getAvailableSessionsForChange: 変更可能セッションを取得,"{""email"":""t_sato2@ga-tech.co.jp"",""count"":0}",
05/01/2026 14:40:32,INFO,cancelReservation: 予約削除を開始,"{""email"":""t_sato2@ga-tech.co.jp"",""eventId"":""hvqdc7k9t1d96clvbq5nvk6jks""}",
05/01/2026 14:40:34,WARN,sendCancellationEmail: Slack通知送信に失敗しましたが、処理は継続します,"{""email"":""t_sato2@ga-tech.co.jp"",""eventId"":""hvqdc7k9t1d96clvbq5nvk6jks""}",
05/01/2026 14:40:34,INFO,sendCancellationEmail: キャンセルメール送信完了,"{""email"":""t_sato2@ga-tech.co.jp"",""eventId"":""hvqdc7k9t1d96clvbq5nvk6jks""}",
05/01/2026 14:40:35,INFO,handleCancellation: キャンセル処理完了,"{""email"":""t_sato2@ga-tech.co.jp"",""eventId"":""hvqdc7k9t1d96clvbq5nvk6jks""}",
05/01/2026 14:40:35,INFO,cancelReservation: 予約削除完了,"{""email"":""t_sato2@ga-tech.co.jp"",""eventId"":""hvqdc7k9t1d96clvbq5nvk6jks""}",
05/01/2026 14:40:37,INFO,changeReservation: 予約変更を開始,"{""email"":""t_sato2@ga-tech.co.jp"",""oldEventId"":""lq091vh4igfupu58i8jllm5tf0"",""newEventId"":""7gd2clkualg5n0dkfdor88s7qs""}",
05/01/2026 14:40:37,ERROR,changeReservation: エラーが発生しました,"{""email"":""t_sato2@ga-tech.co.jp"",""oldEventId"":""lq091vh4igfupu58i8jllm5tf0"",""newEventId"":""7gd2clkualg5n0dkfdor88s7qs"",""errorMessage"":""データが無効です: 変更期限を過ぎています（3日前まで）""}",Error: データが無効です: 変更期限を過ぎています（3日前まで）
05/01/2026 14:40:52,INFO,checkEventCapacity: 定員チェック完了,"{""eventId"":""lq091vh4igfupu58i8jllm5tf0"",""maxAttendees"":999,""currentAttendees"":0,""isFull"":false,""availableSpots"":999}",
05/01/2026 14:41:29,INFO,updateReservationVisualization: 予約状況の可視化を更新しました,,
05/01/2026 14:41:30,INFO,updateReservationList: 予約一覧を更新しました,,
05/01/2026 14:41:32,INFO,updateCalendarEvent: イベント更新完了,"{""eventId"":""lq091vh4igfupu58i8jllm5tf0"",""updates"":{""title"":""[テスト] 更新されたタイトル 1767591691487""}}",
05/01/2026 14:41:33,INFO,updateCalendarEvent: イベント更新完了,"{""eventId"":""lq091vh4igfupu58i8jllm5tf0"",""updates"":{""title"":""[テスト] 継続研修テストイベント""}}",
05/01/2026 14:41:34,WARN,sendCancellationEmail: Slack通知送信に失敗しましたが、処理は継続します,"{""email"":""t_sato2@ga-tech.co.jp"",""eventId"":""lq091vh4igfupu58i8jllm5tf0""}",
05/01/2026 14:41:35,INFO,sendCancellationEmail: キャンセルメール送信完了,"{""email"":""t_sato2@ga-tech.co.jp"",""eventId"":""lq091vh4igfupu58i8jllm5tf0""}",
05/01/2026 14:41:35,INFO,handleCancellation: キャンセル処理完了,"{""email"":""t_sato2@ga-tech.co.jp"",""eventId"":""lq091vh4igfupu58i8jllm5tf0""}",
05/01/2026 14:41:38,INFO,getAvailableSessionsForChange: 変更可能セッションを取得,"{""email"":""t_sato2@ga-tech.co.jp"",""count"":0}",
05/01/2026 14:53:13,INFO,cancelReservation: 予約削除を開始,"{""email"":""t_sato2@ga-tech.co.jp"",""eventId"":""hvqdc7k9t1d96clvbq5nvk6jks""}",
05/01/2026 14:53:14,INFO,sendCancellationEmail: キャンセルメール送信完了,"{""email"":""t_sato2@ga-tech.co.jp"",""eventId"":""hvqdc7k9t1d96clvbq5nvk6jks""}",
05/01/2026 14:53:15,INFO,handleCancellation: キャンセル処理完了,"{""email"":""t_sato2@ga-tech.co.jp"",""eventId"":""hvqdc7k9t1d96clvbq5nvk6jks""}",
05/01/2026 14:53:16,INFO,cancelReservation: 予約削除完了,"{""email"":""t_sato2@ga-tech.co.jp"",""eventId"":""hvqdc7k9t1d96clvbq5nvk6jks""}",
05/01/2026 14:53:17,INFO,changeReservation: 予約変更を開始,"{""email"":""t_sato2@ga-tech.co.jp"",""oldEventId"":""lq091vh4igfupu58i8jllm5tf0"",""newEventId"":""7gd2clkualg5n0dkfdor88s7qs""}",
05/01/2026 14:53:18,ERROR,changeReservation: エラーが発生しました,"{""email"":""t_sato2@ga-tech.co.jp"",""oldEventId"":""lq091vh4igfupu58i8jllm5tf0"",""newEventId"":""7gd2clkualg5n0dkfdor88s7qs"",""errorMessage"":""データが無効です: 変更期限を過ぎています（3日前まで）""}",Error: データが無効です: 変更期限を過ぎています（3日前まで）
05/01/2026 14:53:32,INFO,checkEventCapacity: 定員チェック完了,"{""eventId"":""lq091vh4igfupu58i8jllm5tf0"",""maxAttendees"":999,""currentAttendees"":0,""isFull"":false,""availableSpots"":999}",
05/01/2026 14:54:08,INFO,updateReservationVisualization: 予約状況の可視化を更新しました,,
05/01/2026 14:54:10,INFO,updateReservationList: 予約一覧を更新しました,,
05/01/2026 14:54:12,INFO,updateCalendarEvent: イベント更新完了,"{""eventId"":""lq091vh4igfupu58i8jllm5tf0"",""updates"":{""title"":""[テスト] 更新されたタイトル 1767592451178""}}",
05/01/2026 14:54:13,INFO,updateCalendarEvent: イベント更新完了,"{""eventId"":""lq091vh4igfupu58i8jllm5tf0"",""updates"":{""title"":""[テスト] 継続研修テストイベント""}}",
05/01/2026 14:54:15,INFO,sendCancellationEmail: キャンセルメール送信完了,"{""email"":""t_sato2@ga-tech.co.jp"",""eventId"":""lq091vh4igfupu58i8jllm5tf0""}",
05/01/2026 14:54:15,INFO,handleCancellation: キャンセル処理完了,"{""email"":""t_sato2@ga-tech.co.jp"",""eventId"":""lq091vh4igfupu58i8jllm5tf0""}",
05/01/2026 14:54:18,INFO,getAvailableSessionsForChange: 変更可能セッションを取得,"{""email"":""t_sato2@ga-tech.co.jp"",""count"":0}",
05/01/2026 15:11:42,INFO,changeReservation: 予約変更を開始,"{""email"":""t_sato2@ga-tech.co.jp"",""oldEventId"":""mlthq0fhgultbrc99hn9ctcedg"",""newEventId"":""9ro57vfab0jdem7khch19jeunk""}",
05/01/2026 15:11:43,ERROR,changeReservation: エラーが発生しました,"{""email"":""t_sato2@ga-tech.co.jp"",""oldEventId"":""mlthq0fhgultbrc99hn9ctcedg"",""newEventId"":""9ro57vfab0jdem7khch19jeunk"",""errorMessage"":""データが無効です: 参加者情報が見つかりません""}",Error: データが無効です: 参加者情報が見つかりません
05/01/2026 15:20:14,INFO,cancelReservation: 予約削除を開始,"{""email"":""t_sato2@ga-tech.co.jp"",""eventId"":""hvqdc7k9t1d96clvbq5nvk6jks""}",
05/01/2026 15:20:16,INFO,sendCancellationEmail: キャンセルメール送信完了,"{""email"":""t_sato2@ga-tech.co.jp"",""eventId"":""hvqdc7k9t1d96clvbq5nvk6jks""}",
05/01/2026 15:20:17,INFO,handleCancellation: キャンセル処理完了,"{""email"":""t_sato2@ga-tech.co.jp"",""eventId"":""hvqdc7k9t1d96clvbq5nvk6jks""}",
05/01/2026 15:20:18,INFO,cancelReservation: 予約削除完了,"{""email"":""t_sato2@ga-tech.co.jp"",""eventId"":""hvqdc7k9t1d96clvbq5nvk6jks""}",
05/01/2026 15:20:20,INFO,changeReservation: 予約変更を開始,"{""email"":""t_sato2@ga-tech.co.jp"",""oldEventId"":""lq091vh4igfupu58i8jllm5tf0"",""newEventId"":""7gd2clkualg5n0dkfdor88s7qs""}",
05/01/2026 15:20:21,ERROR,changeReservation: エラーが発生しました,"{""email"":""t_sato2@ga-tech.co.jp"",""oldEventId"":""lq091vh4igfupu58i8jllm5tf0"",""newEventId"":""7gd2clkualg5n0dkfdor88s7qs"",""errorMessage"":""データが無効です: 変更期限を過ぎています（3日前まで）""}",Error: データが無効です: 変更期限を過ぎています（3日前まで）
05/01/2026 15:20:38,INFO,checkEventCapacity: 定員チェック完了,"{""eventId"":""lq091vh4igfupu58i8jllm5tf0"",""maxAttendees"":999,""currentAttendees"":0,""isFull"":false,""availableSpots"":999}",
05/01/2026 15:21:19,INFO,updateReservationVisualization: 予約状況の可視化を更新しました,,
05/01/2026 15:21:20,INFO,updateReservationList: 予約一覧を更新しました,,
05/01/2026 15:21:23,INFO,updateCalendarEvent: イベント更新完了,"{""eventId"":""lq091vh4igfupu58i8jllm5tf0"",""updates"":{""title"":""[テスト] 更新されたタイトル 1767594082209""}}",
05/01/2026 15:21:24,INFO,updateCalendarEvent: イベント更新完了,"{""eventId"":""lq091vh4igfupu58i8jllm5tf0"",""updates"":{""title"":""[テスト] 継続研修テストイベント""}}",
05/01/2026 15:21:26,INFO,sendCancellationEmail: キャンセルメール送信完了,"{""email"":""t_sato2@ga-tech.co.jp"",""eventId"":""lq091vh4igfupu58i8jllm5tf0""}",
05/01/2026 15:21:26,INFO,handleCancellation: キャンセル処理完了,"{""email"":""t_sato2@ga-tech.co.jp"",""eventId"":""lq091vh4igfupu58i8jllm5tf0""}",
05/01/2026 15:21:29,INFO,getAvailableSessionsForChange: 変更可能セッションを取得,"{""email"":""t_sato2@ga-tech.co.jp"",""count"":0}",
05/01/2026 15:21:32,INFO,changeReservation: 予約変更を開始,"{""email"":""t_sato2@ga-tech.co.jp"",""oldEventId"":""tm0988650597suocd60ok299p8"",""newEventId"":""ecp4mu632hppmb84c1k44bd92c""}",
05/01/2026 15:21:33,ERROR,changeReservation: エラーが発生しました,"{""email"":""t_sato2@ga-tech.co.jp"",""oldEventId"":""tm0988650597suocd60ok299p8"",""newEventId"":""ecp4mu632hppmb84c1k44bd92c"",""errorMessage"":""データが無効です: 参加者情報が見つかりません""}",Error: データが無効です: 参加者情報が見つかりません
